"nb_villes","meth_decroiss_temp","amplitude","temp_init","temp_finale","nb_rep_max","alpha","resultat"
30,0,1,1000,1,100,"0,5","82,5371804000"
30,0,1,1000,1,100,"1","98,2358060000"
30,0,1,1000,1,100,"3","105,6427550000"
30,0,1,1000,1,100,"5","105,6427550000"
30,0,1,1000,1,500,"0,5","76,2810252000"
30,0,1,1000,1,500,"1","83,6733524000"
30,0,1,1000,1,500,"3","100,2908346000"
30,0,1,1000,1,500,"5","106,1510850000"
30,0,1,1000,1,1000,"0,5","68,9170976000"
30,0,1,1000,1,1000,"1","78,3744494000"
30,0,1,1000,1,1000,"3","91,7050326000"
30,0,1,1000,1,1000,"5","103,8116118000"
30,0,1,500,1,100,"0,5","94,3052238000"
30,0,1,500,1,100,"1","86,6692780000"
30,0,1,500,1,100,"3","115,1667230000"
30,0,1,500,1,100,"5","114,9625390000"
30,0,1,500,1,500,"0,5","71,0881452000"
30,0,1,500,1,500,"1","87,9956522000"
30,0,1,500,1,500,"3","83,3442780000"
30,0,1,500,1,500,"5","97,9909006000"
30,0,1,500,1,1000,"0,5","66,3171846000"
30,0,1,500,1,1000,"1","76,2758660000"
30,0,1,500,1,1000,"3","79,3237160000"
30,0,1,500,1,1000,"5","100,9080670000"
30,0,1,100,1,100,"0,5","91,3301810000"
30,0,1,100,1,100,"1","89,0003930000"
30,0,1,100,1,100,"3","111,1370690000"
30,0,1,100,1,100,"5","113,9426370000"
30,0,1,100,1,500,"0,5","78,6840490000"
30,0,1,100,1,500,"1","75,8658690000"
30,0,1,100,1,500,"3","103,7974700000"
30,0,1,100,1,500,"5","101,7972750000"
30,0,1,100,1,1000,"0,5","76,4630780000"
30,0,1,100,1,1000,"1","72,1833840000"
30,0,1,100,1,1000,"3","101,3282300000"
30,0,1,100,1,1000,"5","101,4630390000"
30,0,1,1000,501,100,"0,5","104,1122028000"
30,0,1,1000,501,100,"1","113,4467400000"
30,0,1,1000,501,100,"3","111,7018364000"
30,0,1,1000,501,100,"5","115,3374590000"
30,0,1,1000,501,500,"0,5","105,6098450000"
30,0,1,1000,501,500,"1","105,9475640000"
30,0,1,1000,501,500,"3","105,9667356000"
30,0,1,1000,501,500,"5","113,0356990000"
30,0,1,1000,501,1000,"0,5","96,9659286000"
30,0,1,1000,501,1000,"1","99,9323800000"
30,0,1,1000,501,1000,"3","105,2335852000"
30,0,1,1000,501,1000,"5","101,7247790000"
30,0,1,1000,901,100,"0,5","116,5193530000"
30,0,1,1000,901,100,"1","116,3161430000"
30,0,1,1000,901,100,"3","124,3013770000"
30,0,1,1000,901,100,"5","124,3013770000"
30,0,1,1000,901,500,"0,5","108,1848860000"
30,0,1,1000,901,500,"1","109,8995840000"
30,0,1,1000,901,500,"3","114,7713300000"
30,0,1,1000,901,500,"5","114,7713300000"
30,0,1,1000,901,1000,"0,5","105,9340394000"
30,0,1,1000,901,1000,"1","109,6992930000"
